iter	Passed	Remaining
0	0	67
1	1	63
2	1	59
3	2	54
4	2	54
5	3	54
6	4	55
7	4	55
8	5	56
9	6	57
10	7	59
11	8	60
12	9	63
13	10	63
14	11	63
15	12	63
16	13	64
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	20	60
25	20	59
26	21	58
27	22	57
28	23	57
29	23	55
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	43	35
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
